"","x"
"1","BIO 1 DO"
"2","BIO 2 DO"
"3","BIO BLOWER 1 FLOW"
"4","BIO BLOWER 2 FLOW"
"5","SEWAGE FLOW"
"6","SEWAGE LEVEL"
"7","AMBIENT TEMP"
"8","BIO 1 LEVEL"
"9","BIO 1 TEMPERATURE"
"10","BIO 2 LEVEL"
"11","BIO 2 TEMPERATURE"
"12","RAS TROUGH PH"
"13","RAS TROUGH TSS"
"14","RAS TROUGH TEMPERATURE"
"15","MBR 1 PERM FLOW"
"16","MBR 1 PERM PRESS"
"17","MBR 2 PERM FLOW"
"18","MBR 2 PERM PRESS"
"19","MBR AIR SCOUR FLOW TANK 1"
"20","MBR AIR SCOUR FLOW TANK 2"
"21","MBR 1 TRANS PRESS"
"22","MBR 2 TRANS PRESS"
"23","MBR AIR SCOUR PRESSURE 1"
"24","MBR AIR SCOUR PRESSURE 2"
"25","MBR AIR SCOUR PRESSURE"
"26","RAS TROUGH DO"
"27","PERMEATE TANK CONDUCTIVITY"
"28","PERMEATE TANK LEVEL"
"29","BIO 2 TSS"
"30","BIO 1 TSS"
"31","MBR 1 INF FLOW"
"32","MBR 1 LEVEL"
"33","MBR 2 INF FLOW"
"34","MBR 2 LEVEL"
"35","PERMEATE TANK TURBIDITY"
